rank,name,streams,tracks
1,Drake,50,262
2,Bad Bunny,44,163
3,Ed Sheeran,38,240
4,The Weeknd,35,186
5,Taylor Swift,33,323
6,Justin Bieber,32,225
7,Ariana Grande,32,181
8,Eminem,30,301
9,Post Malone,30,98
10,BTS,29,262
11,J Balvin,26,242
12,Kanye West,26,239
13,Billie Eilish,24,65
14,Juice WRLD,23,116
15,Coldplay,22,299
16,Dua Lipa,22,198
17,Imagine Dragons,22,189
18,XXXTENTACION,22,144
19,Ozuna,21,215
20,Khalid,21,119
21,Rihanna,21,278
22,Travis Scott,21,113
23,Maroon 5,20,240
24,David Guetta,19,705
25,Shawn Mendes,19,126
26,Bruno Mars,18,81
27,Daddy Yankee,18,360
28,Calvin Harris,18,238
29,Kendrick Lamar,18,121
30,Sam Smith,17,145
