rank,title,streams,artist,release_date
1,Shape of You,3327,Ed Sheeran,2017-01-06
2,Blinding Lights,3323,The Weeknd,2019-11-29
3,Dance Monkey,2721,Tones And I,2019-05-10
4,Someone You Loved,2588,Lewis Capaldi,2018-11-08
5,Rockstar,2570,Post Malone,2017-09-15
6,Sunflower,2502,Post Malone,2018-10-18
7,One Dance,2491,Drake,2016-04-05
8,Closer,2430,The Chainsmokers,2016-07-29
9,Believer,2326,Imagine Dragons,2017-02-01
10,Señorita,2305,Shawn Mendes,2019-06-21
11,Stay,2295,The Kid Laroi,2021-07-09
12,Perfect,2267,Ed Sheeran,2017-03-03
13,Say You Won't Let Go,2193,James Arthur,2016-09-09
14,Heat Waves,2190,Glass Animals,2020-06-29
15,Bad Guy,2181,Billie Eilish,2019-03-29
16,Thinking Out Loud,2131,Ed Sheeran,2014-06-20
17,Lucid Dreams,2119,Juice WRLD,2018-05-04
18,Starboy,2110,The Weeknd,2016-09-21
19,Don't Start Now,2100,Dua Lipa,2019-11-01
20,God's Plan,2079,Drake,2018-01-19
21,Lovely,2059,Billie Eilish,2018-04-19
22,Watermelon Sugar,2052,Harry Styles,2020-05-15
23,Photograph,2036,Ed Sheeran,2014-06-20
24,Bohemian Rhapsody,2006,Queen,1975-10-31
25,Something Just Like This,1999,The Chainsmokers,2017-02-22
26,Shallow,1970,Lady Gaga,2018-09-27
27,Love Yourself,1948,Justin Bieber,2015-11-09
28,SAD!,1947,XXXTENTACION,2018-03-01
29,Circles,1928,Post Malone,2019-08-30
30,Take Me to Church,1916,Hozier,2013-09-13
